CROP,DISTRICT,YEAR,SEASON,AREA,PRODUCTION
Arhar,Coochbehar,"2,007",Rabi       ,5,4
Arhar,Coochbehar,"2,008",Rabi       ,22,17
Arhar,Darjeeling,"1,999",Kharif     ,3,2
Arhar,Darjeeling,"2,000",Kharif     ,8,10
Arhar,Darjeeling,"2,001",Kharif     ,10,8
Arhar,Darjeeling,"2,002",Kharif     ,8,7
Arhar,Darjeeling,"2,003",Kharif     ,16,17
Arhar,Darjeeling,"2,004",Rabi       ,31,20
Arhar,Darjeeling,"2,005",Rabi       ,11,9
Arhar,Darjeeling,"2,006",Rabi       ,11,3
Arhar,Darjeeling,"2,007",Rabi       ,10,9
Arhar,Darjeeling,"2,008",Rabi       ,3,2
Arhar,Darjeeling,"2,009",Rabi       ,3,3
Arhar,Darjeeling,"2,010",Rabi       ,10,11
Arhar,Darjeeling,"2,011",Rabi       ,14,6
Arhar,Darjeeling,"2,012",Rabi       ,20,27
Arhar,Darjeeling,"2,013",Rabi       ,13,17
Arhar,Darjeeling,"2,014",Rabi       ,13,17
Arhar,Darjeeling,"2,015",Rabi       ,108,134
Arhar,Darjeeling,"2,016",Rabi       ,22,27
Arhar,Darjeeling,"2,017",Rabi       ,29,48
Arhar,Darjeeling,"2,018",Rabi       ,30,47
Arhar,Darjeeling,"2,019",Rabi       ,28,92
Arhar,South Dinajpur,"1,998",Kharif     ,11,10
Arhar,North Dinajpur,"1,998",Kharif     ,51,40
Arhar,North Dinajpur,"1,999",Kharif     ,2,2
Arhar,North Dinajpur,"2,000",Kharif     ,19,10
Arhar,North Dinajpur,"2,001",Kharif     ,132,105
Arhar,North Dinajpur,"2,002",Kharif     ,1,1
Arhar,North Dinajpur,"2,003",Kharif     ,1,1
Arhar,North Dinajpur,"2,004",Rabi       ,30,19
Arhar,North Dinajpur,"2,005",Rabi       ,8,7
Arhar,North Dinajpur,"2,008",Rabi       ,24,19
Arhar,North Dinajpur,"2,010",Rabi       ,10,11
Arhar,North Dinajpur,"2,011",Rabi       ,14,6
Arhar,North Dinajpur,"2,014",Rabi       ,1,1
Arhar,Hoogly,"2,008",Rabi       ,1, 
Arhar,Hoogly,"2,013",Rabi       ,101,126
Arhar,Hoogly,"2,014",Rabi       ,101,120
Arhar,Hoogly,"2,015",Rabi       ,110,85
Arhar,Hoogly,"2,016",Rabi       ,104,129
Arhar,Hoogly,"2,018",Rabi       ,57,89
Arhar,Hoogly,"2,019",Rabi       ,60,196
Arhar,Jalpaiguri,"1,999",Kharif     ,19,15
Arhar,Jalpaiguri,"2,000",Kharif     ,74,50
Arhar,Jalpaiguri,"2,001",Kharif     ,15,12
Arhar,Jalpaiguri,"2,002",Kharif     ,11,10
Arhar,Jalpaiguri,"2,003",Kharif     ,30,32
Arhar,Jalpaiguri,"2,004",Rabi       ,16,10
Arhar,Jalpaiguri,"2,005",Rabi       ,14,12
Arhar,Jalpaiguri,"2,006",Rabi       ,15,3
Arhar,Jalpaiguri,"2,007",Rabi       ,17,15
Arhar,Jalpaiguri,"2,008",Rabi       ,18,14
Arhar,Jalpaiguri,"2,009",Rabi       ,12,13
Arhar,Jalpaiguri,"2,010",Rabi       ,10,11
Arhar,Jalpaiguri,"2,011",Rabi       ,10,4
Arhar,Jalpaiguri,"2,012",Rabi       ,51,69
Arhar,Jalpaiguri,"2,017",Rabi       ,175,289
Arhar,Jalpaiguri,"2,018",Rabi       ,48,75
Arhar,Jalpaiguri,"2,019",Rabi       ,50,163
Arhar,Jhargram,"2,016",Rabi       ,477,537
Arhar,Jhargram,"2,017",Rabi       ,"1,088","1,310"
Arhar,Jhargram,"2,018",Rabi       ,339,336
Arhar,Jhargram,"2,019",Rabi       ,578,671
Arhar,Kalimpong,"2,019",Rabi       ,8,26
Arhar,Maldah,"1,998",Kharif     ,219,180
Arhar,Maldah,"1,999",Kharif     ,233,184
Arhar,Maldah,"2,000",Kharif     ,128,80
Arhar,Maldah,"2,001",Kharif     ,48,38
Arhar,Maldah,"2,002",Kharif     ,61,56
Arhar,Maldah,"2,003",Kharif     ,76,80
Arhar,Maldah,"2,004",Rabi       ,50,32
Arhar,Maldah,"2,005",Rabi       ,43,35
Arhar,Maldah,"2,006",Rabi       ,48,11
Arhar,Maldah,"2,007",Rabi       ,34,30
Arhar,Maldah,"2,008",Rabi       ,27,21
Arhar,Maldah,"2,009",Rabi       ,64,70
Arhar,Maldah,"2,010",Rabi       ,51,56
Arhar,Maldah,"2,011",Rabi       ,26,12
Arhar,Maldah,"2,012",Rabi       ,32,44
Arhar,Maldah,"2,013",Rabi       ,35,45
Arhar,Maldah,"2,014",Rabi       ,50,64
Arhar,Maldah,"2,015",Rabi       ,727,902
Arhar,Maldah,"2,016",Rabi       ,196,344
Arhar,Maldah,"2,017",Rabi       ,210,504
Arhar,Maldah,"2,018",Rabi       ,161,510
Arhar,Maldah,"2,019",Rabi       ,289,945
Arhar,East Medinipur,"2,012",Rabi       ,9,12
Arhar,West Medinipur,"1,998",Kharif     ,361,250
Arhar,West Medinipur,"1,999",Kharif     ,496,406
Arhar,West Medinipur,"2,000",Kharif     ,"2,419","2,380"
Arhar,West Medinipur,"2,001",Kharif     ,834,289
Arhar,West Medinipur,"2,002",Kharif     ,558,379
Arhar,West Medinipur,"2,003",Kharif     ,"1,239","1,515"
Arhar,West Medinipur,"2,004",Rabi       ,654,381
Arhar,West Medinipur,"2,005",Rabi       ,274,286
Arhar,West Medinipur,"2,006",Rabi       ,329,199
Arhar,West Medinipur,"2,007",Rabi       ,154,72
Arhar,West Medinipur,"2,008",Rabi       ,212,104
Arhar,West Medinipur,"2,009",Rabi       ,225,48
Arhar,West Medinipur,"2,010",Rabi       ,224,197
Arhar,West Medinipur,"2,011",Rabi       ,128,36
Arhar,West Medinipur,"2,012",Rabi       ,142,163
Arhar,West Medinipur,"2,013",Rabi       ,164,257
Arhar,West Medinipur,"2,014",Rabi       ,164,265
Arhar,West Medinipur,"2,015",Rabi       ,420,324
Arhar,West Medinipur,"2,016",Rabi       ,47,53
Arhar,West Medinipur,"2,017",Rabi       ,415,500
Arhar,West Medinipur,"2,018",Rabi       ,199,197
Arhar,West Medinipur,"2,019",Rabi       ,325,377
Arhar,Murshidabad,"1,998",Kharif     ,234,190
Arhar,Murshidabad,"1,999",Kharif     ,606,735
Arhar,Murshidabad,"2,000",Kharif     ,"1,266",840
Arhar,Murshidabad,"2,001",Kharif     ,"1,115","1,634"
Arhar,Murshidabad,"2,002",Kharif     ,"1,354","1,436"
Arhar,Murshidabad,"2,003",Kharif     ,442,457
Arhar,Murshidabad,"2,004",Rabi       ,157,174
Arhar,Murshidabad,"2,005",Rabi       ,70,75
Arhar,Murshidabad,"2,006",Rabi       ,319,131
Arhar,Murshidabad,"2,007",Rabi       ,372,392
Arhar,Murshidabad,"2,008",Rabi       ,83,165
Arhar,Murshidabad,"2,009",Rabi       ,195,240
Arhar,Murshidabad,"2,010",Rabi       ,113,166
Arhar,Murshidabad,"2,011",Rabi       ,26,12
Arhar,Murshidabad,"2,012",Rabi       ,26,33
Arhar,Murshidabad,"2,013",Rabi       ,69,100
Arhar,Murshidabad,"2,014",Rabi       ,145,242
Arhar,Murshidabad,"2,015",Rabi       ,140,88
Arhar,Murshidabad,"2,016",Rabi       ,139,239
Arhar,Murshidabad,"2,017",Rabi       ,209,449
Arhar,Murshidabad,"2,018",Rabi       ,119,352
Arhar,Murshidabad,"2,019",Rabi       ,229,733
Arhar,Nadia,"1,998",Kharif     ,88,70
Arhar,Nadia,"1,999",Kharif     ,61,74
Arhar,Nadia,"2,000",Kharif     ,"1,593","1,060"
Arhar,Nadia,"2,001",Kharif     ,216,317
Arhar,Nadia,"2,002",Kharif     ,249,264
Arhar,Nadia,"2,003",Kharif     ,135,137
Arhar,Nadia,"2,004",Rabi       ,110,97
Arhar,Nadia,"2,005",Rabi       ,16,18
Arhar,Nadia,"2,006",Rabi       ,22,11
Arhar,Nadia,"2,007",Rabi       ,9,10
Arhar,Nadia,"2,009",Rabi       ,42,56
Arhar,Nadia,"2,010",Rabi       ,559,909
Arhar,Nadia,"2,011",Rabi       ,447,200
Arhar,Nadia,"2,012",Rabi       ,461,647
Arhar,Nadia,"2,013",Rabi       ,256,398
Arhar,Nadia,"2,014",Rabi       ,307,528
Arhar,Nadia,"2,015",Rabi       ,180,118
Arhar,Nadia,"2,016",Rabi       ,365,452
Arhar,Nadia,"2,017",Rabi       ,225,371
Arhar,Nadia,"2,018",Rabi       ,183,286
Arhar,Nadia,"2,019",Rabi       ,325,"1,062"
Arhar, West Bardhaman,"2,016",Rabi       ,9,11
Arhar, West Bardhaman,"2,017",Rabi       ,12,20
Arhar, West Bardhaman,"2,018",Rabi       ,4,6
Arhar,East Bardhaman,"1,998",Kharif     ,557,380
Arhar,East Bardhaman,"1,999",Kharif     ,127,78
Arhar,East Bardhaman,"2,000",Kharif     ,628,420
Arhar,East Bardhaman,"2,001",Kharif     ,327,154
Arhar,East Bardhaman,"2,002",Kharif     ,115,178
Arhar,East Bardhaman,"2,003",Kharif     ,221,224
Arhar,East Bardhaman,"2,005",Rabi       ,24,19
Arhar,East Bardhaman,"2,007",Rabi       ,22,10
Arhar,East Bardhaman,"2,009",Rabi       ,12,3
Arhar,East Bardhaman,"2,010",Rabi       ,18,16
Arhar,East Bardhaman,"2,011",Rabi       ,70,23
Arhar,East Bardhaman,"2,012",Rabi       ,70,93
Arhar,East Bardhaman,"2,013",Rabi       ,76,95
Arhar,East Bardhaman,"2,014",Rabi       ,83,98
Arhar,East Bardhaman,"2,015",Rabi       ,7,5
Arhar,East Bardhaman,"2,016",Rabi       ,81,100
Arhar,East Bardhaman,"2,017",Rabi       ,108,178
Arhar,East Bardhaman,"2,018",Rabi       ,46,72
Arhar,East Bardhaman,"2,019",Rabi       ,55,180
Arhar,Purulia,"1,998",Kharif     ,756,300
Arhar,Purulia,"1,999",Kharif     ,"1,317",648
Arhar,Purulia,"2,000",Kharif     ,"2,071",640
Arhar,Purulia,"2,001",Kharif     ,867,507
Arhar,Purulia,"2,002",Kharif     ,598,374
Arhar,Purulia,"2,003",Kharif     ,6,6
Arhar,Purulia,"2,004",Rabi       ,398,292
Arhar,Purulia,"2,005",Rabi       ,"1,253","1,020"
Arhar,Purulia,"2,006",Rabi       ,"1,234","1,024"
Arhar,Purulia,"2,007",Rabi       ,415,308
Arhar,Purulia,"2,008",Rabi       ,144,63
Arhar,Purulia,"2,009",Rabi       ,107,73
Arhar,Purulia,"2,010",Rabi       ,105,95
Arhar,Purulia,"2,011",Rabi       ,66,45
Arhar,Purulia,"2,012",Rabi       ,107,240
Arhar,Purulia,"2,013",Rabi       ,332,406
Arhar,Purulia,"2,014",Rabi       ,671,723
Arhar,Purulia,"2,015",Rabi       ,340,251
Arhar,Purulia,"2,016",Rabi       ,653,734
Arhar,Purulia,"2,017",Rabi       ,271,310
Arhar,Purulia,"2,018",Rabi       ,316,309
Arhar,Purulia,"2,019",Rabi       ,412,460
Bajra,Bankura,"1,997",Kharif     ,162,73
Bajra,Bankura,"1,998",Kharif     ,130,62
Bajra,Bankura,"1,999",Kharif     ,86,42
Bajra,Bankura,"2,000",Kharif     ,185,122
Bajra,Bankura,"2,001",Kharif     ,195,129
Bajra,Bankura,"2,002",Kharif     ,152,107
Bajra,Bankura,"2,003",Kharif     ,80,39
Bajra,Bankura,"2,004",Kharif     ,18,10
Bajra,Bankura,"2,005",Kharif     ,3,2
Bajra,Bankura,"2,009",Kharif     ,6,7
Bajra,Bankura,"2,010",Kharif     ,2,2
Bajra,Bankura,"2,012",Kharif     ,4,5
Bajra,Birbhum,"1,997",Kharif     ,30,19
Bajra,Birbhum,"1,998",Kharif     ,30,19
Bajra,Coochbehar,"2,013",Kharif     ,110,28
Bajra,Coochbehar,"2,014",Kharif     ,115,29
Bajra,Coochbehar,"2,015",Kharif     ,113,29
Bajra,Coochbehar,"2,016",Kharif     ,114,29
Bajra,Hoogly,"1,999",Kharif     ,45,51
Bajra,Hoogly,"2,000",Kharif     ,10,14
Bajra,Hoogly,"2,001",Kharif     ,30,34
Bajra,West Medinipur,"2,006",Kharif     ,79,31
Bajra,Murshidabad,"1,997",Kharif     ,15,3
Bajra,Murshidabad,"1,998",Kharif     ,15,3
Bajra,Murshidabad,"1,999",Kharif     ,15,3
Bajra,East Bardhaman,"2,000",Kharif     ,95,113
Bajra,East Bardhaman,"2,001",Kharif     ,95,113
Bajra,East Bardhaman,"2,002",Kharif     ,95,113
Bajra,East Bardhaman,"2,003",Kharif     ,95,113
Bajra,Purulia,"2,000",Kharif     ,23,7
Bajra,Purulia,"2,001",Kharif     ,105,46
Bajra,Purulia,"2,002",Kharif     ,85,32
Bajra,Purulia,"2,003",Kharif     ,83,27
Bajra,Purulia,"2,004",Kharif     ,111,35
Bajra,Purulia,"2,005",Kharif     ,52,17
Bajra,Purulia,"2,007",Kharif     ,64,23
Bajra,Purulia,"2,008",Kharif     ,75,26
Bajra,Purulia,"2,009",Kharif     ,47,16
Bajra,Purulia,"2,010",Kharif     ,62,22
Bajra,Purulia,"2,011",Kharif     ,59,22
Bajra,Purulia,"2,012",Kharif     ,56,20
Bajra,Purulia,"2,013",Kharif     ,34,14
Bajra,Purulia,"2,014",Kharif     ,49,19
Bajra,Purulia,"2,015",Kharif     ,53,20
Bajra,Purulia,"2,016",Kharif     ,53,20
Bajra,Purulia,"2,017",Kharif     ,30,12
Bajra,Purulia,"2,018",Kharif     ,71,29
Bajra,Purulia,"2,019",Kharif     ,68,27
Barley,24 Parganas South,"2,005",Rabi       ,14,13
Barley,24 Parganas South,"2,007",Rabi       ,17,15
Barley,Bankura,"2,011",Rabi       ,15,18
Barley,Birbhum,"1,998",Rabi       ,143,170
Barley,Birbhum,"1,999",Rabi       ,104,83
Barley,Birbhum,"2,001",Rabi       ,88,105
Barley,Birbhum,"2,002",Rabi       ,241,238
Barley,Birbhum,"2,003",Rabi       ,219,287
Barley,Birbhum,"2,004",Rabi       ,130,212
Barley,Birbhum,"2,005",Rabi       ,85,106
Barley,Birbhum,"2,006",Rabi       ,73,74
Barley,Birbhum,"2,008",Rabi       ,234,378
Barley,Birbhum,"2,009",Rabi       ,101,131
Barley,Birbhum,"2,010",Rabi       ,40,55
Barley,Birbhum,"2,011",Rabi       ,11,11
Barley,Birbhum,"2,012",Rabi       ,16,19
Barley,Birbhum,"2,013",Rabi       ,24,31
Barley,Birbhum,"2,014",Rabi       ,28,36
Barley,Birbhum,"2,015",Rabi       ,30,40
Barley,Birbhum,"2,016",Rabi       ,35,48
Barley,Birbhum,"2,017",Rabi       ,11,14
Barley,Birbhum,"2,018",Rabi       ,1,2
Barley,Birbhum,"2,019",Rabi       ,10,17
Barley,Coochbehar,"2,008",Rabi       ,5,10
Barley,Coochbehar,"2,011",Rabi       ,10,19
Barley,Darjeeling,"2,004",Rabi       ,23,44
Barley,Darjeeling,"2,011",Rabi       ,509,764
Barley,Darjeeling,"2,012",Rabi       ,510,704
Barley,Darjeeling,"2,013",Rabi       ,510,734
Barley,Darjeeling,"2,014",Rabi       ,509,713
Barley,Darjeeling,"2,015",Rabi       ,510,724
Barley,Darjeeling,"2,016",Rabi       ,506,721
Barley,South Dinajpur,"1,998",Rabi       ,54,50
Barley,South Dinajpur,"2,000",Rabi       ,28,30
Barley,South Dinajpur,"2,001",Rabi       ,21,17
Barley,South Dinajpur,"2,002",Rabi       ,26,16
Barley,South Dinajpur,"2,003",Rabi       ,31,38
Barley,North Dinajpur,"1,998",Rabi       ,46,40
Barley,North Dinajpur,"1,999",Rabi       ,48,33
Barley,North Dinajpur,"2,000",Rabi       ,40,20
Barley,North Dinajpur,"2,001",Rabi       ,80,30
Barley,North Dinajpur,"2,002",Rabi       ,4,4
Barley,North Dinajpur,"2,003",Rabi       ,56,69
Barley,North Dinajpur,"2,004",Rabi       ,65,123
Barley,North Dinajpur,"2,005",Rabi       ,332,469
Barley,North Dinajpur,"2,006",Rabi       ,55,71
Barley,North Dinajpur,"2,007",Rabi       ,16,25
Barley,North Dinajpur,"2,008",Rabi       ,31,60
Barley,North Dinajpur,"2,009",Rabi       ,5,6
Barley,North Dinajpur,"2,010",Rabi       ,28,38
Barley,North Dinajpur,"2,011",Rabi       ,10,20
Barley,North Dinajpur,"2,012",Rabi       ,8,16
Barley,North Dinajpur,"2,013",Rabi       ,15,25
Barley,North Dinajpur,"2,014",Rabi       ,19,29
Barley,North Dinajpur,"2,015",Rabi       ,17,27
Barley,North Dinajpur,"2,016",Rabi       ,18,29
Barley,Jalpaiguri,"1,998",Rabi       ,833,670
Barley,Jalpaiguri,"1,999",Rabi       ,813,812
Barley,Jalpaiguri,"2,001",Rabi       ,23,24
Barley,Jalpaiguri,"2,003",Rabi       ,8,10
Barley,Jalpaiguri,"2,004",Rabi       ,10,19
Barley,Jalpaiguri,"2,006",Rabi       ,4,5
Barley,Jalpaiguri,"2,007",Rabi       ,4,6
Barley,Jalpaiguri,"2,009",Rabi       ,13,15
Barley,Jalpaiguri,"2,010",Rabi       ,15,20
Barley,Jalpaiguri,"2,011",Rabi       ,5,7
Barley,Jalpaiguri,"2,012",Rabi       ,11,14
Barley,Jalpaiguri,"2,013",Rabi       ,8,11
Barley,Jalpaiguri,"2,014",Rabi       ,10,14
Barley,Jalpaiguri,"2,015",Rabi       ,11,14
Barley,Jalpaiguri,"2,016",Rabi       ,10,13
Barley,Kalimpong,"2,017",Rabi       ,30,42
Barley,Kalimpong,"2,018",Rabi       ,495,693
Barley,Kalimpong,"2,019",Rabi       ,100,260
Barley,Maldah,"1,998",Rabi       ,"3,004","2,400"
Barley,Maldah,"1,999",Rabi       ,"2,339","2,336"
Barley,Maldah,"2,000",Rabi       ,"2,199","1,180"
Barley,Maldah,"2,001",Rabi       ,"1,607","1,665"
Barley,Maldah,"2,002",Rabi       ,"1,392","1,406"
Barley,Maldah,"2,003",Rabi       ,"1,706","2,091"
Barley,Maldah,"2,004",Rabi       ,"1,491","3,048"
Barley,Maldah,"2,005",Rabi       ,"1,318","1,861"
Barley,Maldah,"2,006",Rabi       ,"1,216","1,744"
Barley,Maldah,"2,007",Rabi       ,"1,232","1,987"
Barley,Maldah,"2,008",Rabi       ,"1,082","2,127"
Barley,Maldah,"2,009",Rabi       ,"1,200","1,358"
Barley,Maldah,"2,010",Rabi       ,"1,512","2,084"
Barley,Maldah,"2,011",Rabi       ,"1,265","1,856"
Barley,Maldah,"2,012",Rabi       ,"1,388","1,970"
Barley,Maldah,"2,013",Rabi       ,"1,341","1,903"
Barley,Maldah,"2,014",Rabi       ,"1,365","1,895"
Barley,Maldah,"2,015",Rabi       ,"1,377","1,933"
Barley,Maldah,"2,016",Rabi       ,"1,382","1,951"
Barley,Maldah,"2,017",Rabi       ,206,292
Barley,Murshidabad,"1,998",Rabi       ,"1,661","2,340"
Barley,Murshidabad,"1,999",Rabi       ,"1,575","1,363"
Barley,Murshidabad,"2,000",Rabi       ,986,480
Barley,Murshidabad,"2,001",Rabi       ,656,769
Barley,Murshidabad,"2,002",Rabi       ,708,629
Barley,Murshidabad,"2,003",Rabi       ,689,"1,137"
Barley,Murshidabad,"2,004",Rabi       ,586,510
Barley,Murshidabad,"2,005",Rabi       ,562,468
Barley,Murshidabad,"2,006",Rabi       ,898,387
Barley,Murshidabad,"2,007",Rabi       ,573,485
Barley,Murshidabad,"2,008",Rabi       ,914,"1,031"
Barley,Murshidabad,"2,009",Rabi       ,263,515
Barley,Murshidabad,"2,010",Rabi       ,262,362
Barley,Murshidabad,"2,011",Rabi       ,480,636
Barley,Murshidabad,"2,012",Rabi       ,335,618
Barley,Murshidabad,"2,013",Rabi       ,359,539
Barley,Murshidabad,"2,014",Rabi       ,391,560
Barley,Murshidabad,"2,015",Rabi       ,402,567
Barley,Murshidabad,"2,016",Rabi       ,435,618
Barley,Murshidabad,"2,017",Rabi       ,181,259
Barley,Murshidabad,"2,018",Rabi       ,163,310
Barley,Murshidabad,"2,019",Rabi       ,168,322
Barley,Nadia,"1,998",Rabi       ,24,40
Barley,Nadia,"1,999",Rabi       ,198,59
Barley,Nadia,"2,000",Rabi       ,218,110
Barley,Nadia,"2,001",Rabi       ,75,129
Barley,Nadia,"2,002",Rabi       ,88,48
Barley,Nadia,"2,003",Rabi       ,368,510
Barley,Nadia,"2,004",Rabi       ,116,91
Barley,Nadia,"2,005",Rabi       ,92,83
Barley,Nadia,"2,006",Rabi       ,602,329
Barley,Nadia,"2,007",Rabi       ,216,191
Barley,Nadia,"2,008",Rabi       ,502,596
Barley,Nadia,"2,009",Rabi       ,167,327
Barley,Nadia,"2,010",Rabi       ,167,231
Barley,Nadia,"2,011",Rabi       ,5,8
Barley,Nadia,"2,012",Rabi       ,113,189
Barley,Nadia,"2,013",Rabi       ,95,143
Barley,Nadia,"2,014",Rabi       ,140,210
Barley,Nadia,"2,015",Rabi       ,153,220
Barley,Nadia,"2,016",Rabi       ,160,235
Barley,East Bardhaman,"1,998",Rabi       ,173,200
Barley,East Bardhaman,"2,001",Rabi       ,72,86
Barley,East Bardhaman,"2,012",Rabi       ,6,6
Barley,East Bardhaman,"2,013",Rabi       ,9,9
Barley,East Bardhaman,"2,018",Rabi       ,6,4
Castor Seed,Jhargram,"2,018",Kharif     ,19,11
Castor Seed,West Medinipur,"1,998",Rabi       ,54,38
Castor Seed,West Medinipur,"1,999",Kharif     ,35,24
Castor Seed,West Medinipur,"2,000",Kharif     ,100,127
Castor Seed,West Medinipur,"2,001",Kharif     ,80,73
Castor Seed,West Medinipur,"2,002",Kharif     ,45,42
Castor Seed,West Medinipur,"2,003",Kharif     ,40,48
Castor Seed,West Medinipur,"2,004",Rabi       ,45,43
Castor Seed,West Medinipur,"2,005",Rabi       ,45,37
Castor Seed,West Medinipur,"2,006",Rabi       ,58,49
Castor Seed,West Medinipur,"2,008",Kharif     ,60,37
Castor Seed,West Medinipur,"2,009",Kharif     ,60,35
Castor Seed,West Medinipur,"2,010",Kharif     ,85,51
Castor Seed,West Medinipur,"2,011",Kharif     ,70,42
Castor Seed,West Medinipur,"2,012",Kharif     ,72,43
Castor Seed,West Medinipur,"2,013",Kharif     ,76,45
Castor Seed,West Medinipur,"2,014",Kharif     ,81,48
Castor Seed,West Medinipur,"2,015",Kharif     ,56,34
Castor Seed,West Medinipur,"2,016",Kharif     ,62,39
Cotton,24 Parganas North,"2,001",Kharif     ,250,620
Cotton,24 Parganas North,"2,002",Kharif     ,15,60
Cotton,24 Parganas North,"2,003",Kharif     ,133,439
Cotton,24 Parganas North,"2,004",Kharif     ,162,985
Cotton,24 Parganas North,"2,005",Kharif     ,137,445
Cotton,24 Parganas North,"2,006",Kharif     ,137,445
Cotton,24 Parganas North,"2,007",Kharif     ,"2,980",834
Cotton,24 Parganas North,"2,008",Kharif     ,398,358
Cotton,24 Parganas North,"2,009",Kharif     ,84,97
Cotton,24 Parganas North,"2,010",Kharif     ,30,59
Cotton,24 Parganas North,"2,012",Kharif     ,76,205
Cotton,24 Parganas North,"2,013",Kharif     ,77,239
Cotton,24 Parganas South,"1,997",Kharif     ,"26,000","52,000"
Cotton,24 Parganas South,"1,998",Kharif     ,200,73
Cotton,24 Parganas South,"1,999",Kharif     ,750,"2,040"
Cotton,24 Parganas South,"2,000",Kharif     ,"1,188","2,732"
Cotton,24 Parganas South,"2,001",Kharif     ,"1,544","3,860"
Cotton,24 Parganas South,"2,002",Kharif     ,808,"1,414"
Cotton,24 Parganas South,"2,003",Kharif     ,"1,296","2,333"
Cotton,24 Parganas South,"2,004",Kharif     ,797,"3,596"
